folio,int,idinsert,entidad,munici,locali,sexo,edad,intsel,intsel2,completa,cam00,cam01,cam02,cam03,cam04a,cam04b,cam04c,cam04d,cam04e,cam04f,cam04esp,cam04g,cam05a,cam05b,cam05c,cam05d,cam05e,cam05f,cam05g,cam05esp,cam05h,cam05i,cam06,cam07,cam08,cam09,cam10,cam11,cam12,cam13,TIEMPO_GEN,region_h,code_upm,est_var,ponde_f,h218a,h218b,gp_edad,CHECATE,MIDETE,MUEVETE,Area
02002000143500130091,1,1055417,02,002,0001,2,49,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,3,3,2,2016/10/04,1,1a45,122,5370.36795252552,3,1,2,1,0,1,1
02002000143500130131,3,1055421,02,002,0001,1,31,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,1,1,3,3,3,1,2016/10/04,1,1a45,122,27367.95266180383,4,3,1,1,0,1,1
02002000143500130151,1,1055335,02,002,0001,1,68,1,10,1,4,1,2,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,SEGURO SOCIAL,0,0,1,2,2,1,3,3,3,3,2016/10/04,1,1a45,122,7826.514442857897,3,3,3,0,0,1,1
02002000143500130171,2,1055329,02,002,0001,2,65,1,10,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/04,1,1a45,122,9055.650196349106,2,6,3,0,0,0,1
02002000143500130191,1,1055425,02,002,0001,1,32,1,,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,1,1,1,3,3,3,3,2016/10/04,1,1a45,122,9122.65088726794,3,3,1,0,0,1,1
02002000143500190021,2,1054699,02,002,0001,2,23,1,12,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,3,3,2,2016/10/04,1,1a45,122,5579.20794913363,4,2,1,0,0,1,1
02002000143500190041,1,1054689,02,002,0001,1,40,1,,1,4,1,2,2,,,,,,,,,1,1,0,0,0,0,0,,0,0,1,2,1,1,1,1,3,1,2016/10/04,1,1a45,122,9899.47574425583,10,4,2,0,0,1,1
02002000143500190051,2,1054694,02,002,0001,1,30,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,1,3,4,2,1,1,1,2016/10/04,1,1a45,122,20670.006352467626,4,1,1,0,0,0,1
02002000143500270021,2,1055337,02,002,0001,2,49,1,,1,4,1,2,1,0,0,1,0,0,1,ESCUELA,0,0,1,0,0,0,0,0,,0,0,1,1,1,1,3,3,3,3,2016/10/04,1,1a45,122,6489.665694209786,7,2,2,0,0,1,1
02002000143500270031,3,1055339,02,002,0001,2,69,1,12,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,5,1,3,99,3,3,2016/10/04,1,1a45,122,11754.856532296184,2,2,3,1,0,1,1
02002000143500340031,1,1054829,02,002,0001,2,64,1,10,1,4,1,4,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,4,1,1,3,2,3,1,2016/10/04,1,1a45,122,3605.2217698733716,0,0,3,0,0,1,1
02002000143500340061,1,1054697,02,002,0001,1,43,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,2,1,3,3,3,1,2016/10/04,1,1a45,122,7071.054103039876,8,2,2,1,0,1,1
02002000143500340081,1,1054827,02,002,0001,1,42,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,3,3,3,2016/10/04,1,1a45,122,14142.108206079753,3,3,2,1,0,1,1
02002000143500340091,5,1054681,02,002,0001,1,22,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,2016/10/04,1,1a45,122,49214.30083920862,3,3,1,0,0,0,1
02002012435799990011,1,1054654,02,002,0124,2,82,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,1,3,1,2016/10/04,1,1o01,111,197.16678349467995,0,0,3,1,0,1,2
02002012435799990021,2,1054655,02,002,0124,2,49,1,12,1,4,2,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,3,1,2016/10/04,1,1o01,111,1382.6087531737103,3,3,2,0,0,1,2
02002012435799990031,2,1054645,02,002,0124,2,39,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,2,1,3,1,3,1,2016/10/04,1,1o01,111,921.7391687824735,2,6,1,1,0,1,2
02002012435799990041,3,1054659,02,002,0124,1,21,1,12,1,4,2,,,,,,,,,,,,,,,,,,,,,,4,1,1,3,3,3,2,2016/10/04,1,1o01,111,969.6184689747341,3,3,1,0,0,1,2
02002012435799990051,1,1054650,02,002,0124,1,42,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,5,4,1,3,3,3,3,2016/10/04,1,1o01,111,364.23326640212144,2,1,2,0,1,1,2
02002012435799990061,1,1055290,02,002,0124,1,42,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,2,4,1,3,3,3,3,2016/10/04,1,1o01,111,728.4665328042429,3,3,2,0,1,1,2
02002012435799990071,1,1055286,02,002,0124,1,86,1,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/04,1,1o01,111,348.974025912416,0,0,3,0,0,0,2
02002012435799990081,1,1055282,02,002,0124,1,30,1,12,1,4,1,4,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,1,1,3,3,3,1,2016/10/04,1,1o01,111,646.4123126498228,2,5,1,1,0,1,2
02002012435799990091,1,1055288,02,002,0124,1,20,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,3,3,1,2016/10/04,1,1o01,111,323.2061563249114,3,3,1,0,0,1,2
02002012435799990101,3,1055274,02,002,0124,2,60,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,5,1,3,99,3,3,2016/10/04,1,1o01,111,1253.2346725639875,2,1,3,1,0,1,2
02002012435799990111,1,1055842,02,002,0124,1,44,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,3,1,2016/10/04,1,1o01,111,1092.6997992063646,2,6,2,0,0,1,2
02002012435799990121,1,1055832,02,002,0124,1,50,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,3,3,3,2016/10/04,1,1o01,111,287.84308156454773,3,3,2,1,0,1,2
02002012435799990131,2,1055829,02,002,0124,2,30,1,,1,4,1,4,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,1,1,3,2,3,3,2016/10/04,1,1o01,111,484.2074614698333,3,3,1,1,0,1,2
