idinsert,folio,integrante,entidad,munici,locali,maq,sexo,edad,meses,intsel,intsel2,perc101,perc102,perc103,perc104,perc104aj,perc105aj,perc105,perc106,perc107,perc108,perc109,perc110,perc110aj,perc111,perc111aj,perc112,perc113,perc114,perc115,perc116,perc117,perc118,perc119,perc120,perc121,perc122,perc123,perc124,perc125,perc126,perc127,perc128,perc129,perc130,perc131,perc132,perc133,perc134,perc135,perc136,perc137,perc138,perc139,perc140,perc141,perc142,perc143,perc144,perc145,perc146,perc147,perc148,perc149,perc150,perc151,perc152,perc153,perc154,perc155,perc156,perc157,perc158,perc159,perc160,perc161,perc162,perc163,perc164,tiempo_gen,est_var,region_h,code_upm,rural,c1,ponde_f,etapa_af,etapa_fv
1065215,01001000127230380181,2,01,001,0001,MC035,2,32,3,1,,1,1,,2,2,1,1,1,1,2,1,,2,,2,2,4,1,1,2,2,2,1,1,2,2,1,2,1,1,2,2,1,2,3,1,3,1,3,1,2,3,1,1,1,1,1,1,1,3,2,2,2,2,3,1,2,1,1,1,1,2,1,1,1,2,2,1,2016/10/25,223,2,2o71,2,1,10235.968997599994,3,2
1065210,01001000127230380271,2,01,001,0001,MC035,2,48,10,1,12,2,1,,1,1,1,1,2,2,1,,2,2,1,1,2,1,1,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,3,3,3,3,2,3,1,1,1,1,1,1,1,4,,3,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2016/10/25,223,2,2o71,2,1,6775.259244931133,5,3
1065227,01001000127230380351,2,01,001,0001,MC035,2,50,9,1,,1,1,,2,2,2,2,2,1,1,,2,2,2,2,2,3,3,3,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,4,1,2,2,2,2,2,2,1,1,1,1,1,1,1,3,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2016/10/25,223,2,2o71,2,1,4516.839496620756,3,3
1065232,01001000127230380431,1,01,001,0001,MC035,1,25,4,1,10,1,1,,1,1,1,1,1,2,2,1,,2,,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,4,3,1,3,1,1,2,4,2,1,1,1,1,1,1,1,4,3,3,3,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2016/10/25,223,2,2o71,2,1,8177.263625515701,5,2
1055876,02002000143500020021,1,02,002,0001,MC005,1,41,0,1,,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,4,1,2,3,3,2,2,3,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2016/10/25,122,1,1a45,2,1,14228.496961419849,5,5
1055880,02002000143500020091,2,02,002,0001,MC005,2,46,0,1,,1,1,,1,1,1,1,1,1,1,,2,2,1,1,1,3,3,4,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,4,2,2,2,2,3,2,3,2,1,1,1,1,1,1,2,4,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2016/10/25,122,1,1a45,2,1,10820.579939026598,5,3
1055891,02002000143500020151,2,02,002,0001,MC005,2,22,0,1,10,2,2,1,,2,2,,1,1,1,,1,1,1,1,1,2,2,3,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,4,3,3,3,2,3,2,3,2,1,1,1,1,1,1,2,4,3,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2016/10/25,122,1,1a45,2,1,9374.151967311087,2,5
1055884,02002000143500070081,1,02,002,0001,MC005,1,23,0,1,12,1,1,,1,1,1,1,1,2,1,,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,88,4,2,3,2,1,1,1,1,2,88,1,4,3,2,2,2,2,1,88,88,1,1,1,2,2,1,2,1,1,2016/10/25,122,1,1a45,2,1,11521.396816209486,5,4
1055897,02002000143500070161,1,02,002,0001,MC005,2,27,8,1,10,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,3,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,4,2,3,3,2,1,2,3,2,1,2,1,1,1,1,2,4,2,3,2,2,2,2,2,2,2,1,2,88,1,2,88,2,1,2016/10/25,122,1,1a45,2,1,4746.594408844821,5,5
1055885,02002000143500070241,1,02,002,0001,MC005,2,57,0,1,,1,1,,1,1,1,1,1,1,1,,2,2,2,2,2,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,4,1,3,3,3,2,2,2,2,1,1,1,1,1,1,2,4,3,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2016/10/25,122,1,1a45,2,1,10957.984128728524,5,3
